motion_file,sex,age,size,weight,hand,foot,expertise,expertise_practical,expertise_theoretical,experience_trainer
MR_TST_1_annotated_Tai_Chi_Push_000_annotated.txt,m,27,186,80,1,1,0,0,0,0
MR_TST_1_annotated_Tai_Chi_Push_001_annotated.txt,m,27,186,80,1,1,0,0,0,0
MR_TST_1_annotated_Tai_Chi_Push_002_annotated.txt,m,27,186,80,1,1,0,0,0,0
MR_TST_1_annotated_Tai_Chi_Push_003_annotated.txt,m,27,186,80,1,1,0,0,0,0
MR_TST_1_annotated_Tai_Chi_Push_004_annotated.txt,m,27,186,80,1,1,0,0,0,0
mr_16_annotated_Tai_Chi_Push_001_annotated.txt,m,32,184,82,1,1,1,0,3,1
mr_16_annotated_Tai_Chi_Push_003_annotated.txt,m,32,184,82,1,1,1,0,3,1
mr_17_annotated_Tai_Chi_Push_000_annotated.txt,f,23,170,72,1,1,1,1,0,0
mr_17_annotated_Tai_Chi_Push_001_annotated.txt,f,23,170,72,1,1,1,1,0,0
mr_17_annotated_Tai_Chi_Push_002_annotated.txt,f,23,170,72,1,1,1,1,0,0
mr_17_annotated_Tai_Chi_Push_003_annotated.txt,f,23,170,72,1,1,1,1,0,0
mr_17_annotated_Tai_Chi_Push_004_annotated.txt,f,23,170,72,1,1,1,1,0,0
mr_15_annotated_Tai_Chi_Push_001_annotated.txt,f,24,180,73,1,0,0,0,0,0
mr_15_annotated_Tai_Chi_Push_002_annotated.txt,f,24,180,73,1,0,0,0,0,0
mr_15_annotated_Tai_Chi_Push_003_annotated.txt,f,24,180,73,1,0,0,0,0,0
mr_15_annotated_Tai_Chi_Push_004_annotated.txt,f,24,180,73,1,0,0,0,0,0
mr_12_annotated_Tai_Chi_Push_000_annotated.txt,m,22,192,78,1,1,0,0,0,0
mr_12_annotated_Tai_Chi_Push_001_annotated.txt,m,22,192,78,1,1,0,0,0,0
mr_12_annotated_Tai_Chi_Push_002_annotated.txt,m,22,192,78,1,1,0,0,0,0
mr_12_annotated_Tai_Chi_Push_003_annotated.txt,m,22,192,78,1,1,0,0,0,0
mr_12_annotated_Tai_Chi_Push_004_annotated.txt,m,22,192,78,1,1,0,0,0,0
mr_13_annotated_Tai_Chi_Push_000_annotated.txt,f,23,162,55,1,1,1,1,1,1
mr_13_annotated_Tai_Chi_Push_001_annotated.txt,f,23,162,55,1,1,1,1,1,1
mr_13_annotated_Tai_Chi_Push_002_annotated.txt,f,23,162,55,1,1,1,1,1,1
mr_13_annotated_Tai_Chi_Push_003_annotated.txt,f,23,162,55,1,1,1,1,1,1
mr_13_annotated_Tai_Chi_Push_004_annotated.txt,f,23,162,55,1,1,1,1,1,1
mr_10_annotated_Tai_Chi_Push_000_annotated.txt,m,25,176,76,1,1,0,0,0,0
mr_10_annotated_Tai_Chi_Push_001_annotated.txt,m,25,176,76,1,1,0,0,0,0
mr_10_annotated_Tai_Chi_Push_002_annotated.txt,m,25,176,76,1,1,0,0,0,0
mr_10_annotated_Tai_Chi_Push_003_annotated.txt,m,25,176,76,1,1,0,0,0,0
mr_10_annotated_Tai_Chi_Push_004_annotated.txt,m,25,176,76,1,1,0,0,0,0
mr_11_annotated_Tai_Chi_Push_000_annotated.txt,f,22,172,82,0,1,0,0,0,0
mr_11_annotated_Tai_Chi_Push_001_annotated.txt,f,22,172,82,0,1,0,0,0,0
mr_11_annotated_Tai_Chi_Push_002_annotated.txt,f,22,172,82,0,1,0,0,0,0
mr_11_annotated_Tai_Chi_Push_003_annotated.txt,f,22,172,82,0,1,0,0,0,0
mr_11_annotated_Tai_Chi_Push_004_annotated.txt,f,22,172,82,0,1,0,0,0,0
mr_30_annotated_Tai_Chi_Push_001_annotated.txt,f,28,159,92,1,-,0,0,1,0
mr_30_annotated_Tai_Chi_Push_002_annotated.txt,f,28,159,92,1,-,0,0,1,0
mr_30_annotated_Tai_Chi_Push_003_annotated.txt,f,28,159,92,1,-,0,0,1,0
mr_30_annotated_Tai_Chi_Push_004_annotated.txt,f,28,159,92,1,-,0,0,1,0
mr_31_annotated_Tai_Chi_Push_000_annotated.txt,f,24,159,84,1,0,0,0,1,0
mr_31_annotated_Tai_Chi_Push_001_annotated.txt,f,24,159,84,1,0,0,0,1,0
mr_31_annotated_Tai_Chi_Push_002_annotated.txt,f,24,159,84,1,0,0,0,1,0
mr_31_annotated_Tai_Chi_Push_003_annotated.txt,f,24,159,84,1,0,0,0,1,0
mr_31_annotated_Tai_Chi_Push_004_annotated.txt,f,24,159,84,1,0,0,0,1,0
mr_18_annotated_Tai_Chi_Push_000_annotated.txt,m,22,175,70,1,1,0,0,0,0
mr_18_annotated_Tai_Chi_Push_001_annotated.txt,m,22,175,70,1,1,0,0,0,0
mr_18_annotated_Tai_Chi_Push_002_annotated.txt,m,22,175,70,1,1,0,0,0,0
mr_18_annotated_Tai_Chi_Push_003_annotated.txt,m,22,175,70,1,1,0,0,0,0
mr_18_annotated_Tai_Chi_Push_004_annotated.txt,m,22,175,70,1,1,0,0,0,0
TaiChi_Stoss_01_annotated_Tai_Chi_Push_000_annotated.txt,m,40,174,72,1,1,4,4,4,1
TaiChi_Stoss_01_annotated_Tai_Chi_Push_001_annotated.txt,m,40,174,72,1,1,4,4,4,1
TaiChi_Stoss_01_annotated_Tai_Chi_Push_010_annotated.txt,m,40,174,72,1,1,4,4,4,1
TaiChi_Stoss_01_annotated_Tai_Chi_Push_011_annotated.txt,m,40,174,72,1,1,4,4,4,1
mr_27_annotated_Tai_Chi_Push_000_annotated.txt,m,28,185,74,0,0,0,0,0,0
mr_27_annotated_Tai_Chi_Push_001_annotated.txt,m,28,185,74,0,0,0,0,0,0
mr_27_annotated_Tai_Chi_Push_002_annotated.txt,m,28,185,74,0,0,0,0,0,0
mr_27_annotated_Tai_Chi_Push_003_annotated.txt,m,28,185,74,0,0,0,0,0,0
mr_27_annotated_Tai_Chi_Push_004_annotated.txt,m,28,185,74,0,0,0,0,0,0
mr_05_annotated_Tai_Chi_Push_000_annotated.txt,m,20,180,89,1,1,0,0,0,1
mr_05_annotated_Tai_Chi_Push_001_annotated.txt,m,20,180,89,1,1,0,0,0,1
mr_05_annotated_Tai_Chi_Push_002_annotated.txt,m,20,180,89,1,1,0,0,0,1
mr_05_annotated_Tai_Chi_Push_003_annotated.txt,m,20,180,89,1,1,0,0,0,1
mr_05_annotated_Tai_Chi_Push_004_annotated.txt,m,20,180,89,1,1,0,0,0,1
mr_04_004_annotated_Tai_Chi_Push_001_annotated.txt,m,23,185,86,1,1,1,2,2,0
mr_04_004_annotated_Tai_Chi_Push_002_annotated.txt,m,23,185,86,1,1,1,2,2,0
mr_04_004_annotated_Tai_Chi_Push_003_annotated.txt,m,23,185,86,1,1,1,2,2,0
mr_04_004_annotated_Tai_Chi_Push_004_annotated.txt,m,23,185,86,1,1,1,2,2,0
mr_07_annotated_Tai_Chi_Push_000_annotated.txt,m,20,180,60,1,1,0,0,0,0
mr_07_annotated_Tai_Chi_Push_001_annotated.txt,m,20,180,60,1,1,0,0,0,0
mr_07_annotated_Tai_Chi_Push_002_annotated.txt,m,20,180,60,1,1,0,0,0,0
mr_07_annotated_Tai_Chi_Push_003_annotated.txt,m,20,180,60,1,1,0,0,0,0
mr_07_annotated_Tai_Chi_Push_004_annotated.txt,m,20,180,60,1,1,0,0,0,0
mr_06_annotated_Tai_Chi_Push_000_annotated.txt,m,22,174,68,1,1,0,0,0,0
mr_06_annotated_Tai_Chi_Push_001_annotated.txt,m,22,174,68,1,1,0,0,0,0
mr_06_annotated_Tai_Chi_Push_002_annotated.txt,m,22,174,68,1,1,0,0,0,0
mr_06_annotated_Tai_Chi_Push_003_annotated.txt,m,22,174,68,1,1,0,0,0,0
mr_06_annotated_Tai_Chi_Push_004_annotated.txt,m,22,174,68,1,1,0,0,0,0
mr_01_annotated_Tai_Chi_Push_000_annotated.txt,m,23,175,73,1,1,0,0,0,1
mr_01_annotated_Tai_Chi_Push_001_annotated.txt,m,23,175,73,1,1,0,0,0,1
mr_01_annotated_Tai_Chi_Push_002_annotated.txt,m,23,175,73,1,1,0,0,0,1
mr_01_annotated_Tai_Chi_Push_003_annotated.txt,m,23,175,73,1,1,0,0,0,1
mr_01_annotated_Tai_Chi_Push_004_annotated.txt,m,23,175,73,1,1,0,0,0,1
mr_01_annotated_Tai_Chi_Push_005_annotated.txt,m,23,175,73,1,1,0,0,0,1
mr_01_annotated_Tai_Chi_Push_006_annotated.txt,m,23,175,73,1,1,0,0,0,1
mr_01_annotated_Tai_Chi_Push_007_annotated.txt,m,23,175,73,1,1,0,0,0,1
mr_01_annotated_Tai_Chi_Push_008_annotated.txt,m,23,175,73,1,1,0,0,0,1
mr_01_annotated_Tai_Chi_Push_009_annotated.txt,m,23,175,73,1,1,0,0,0,1
mr_03_annotated_Tai_Chi_Push_000_annotated.txt,f,27,165,65,1,1,0,0,0,0
mr_24_annotated_Tai_Chi_Push_000_annotated.txt,f,26,169,75,1,1,1,2,2,0
mr_24_annotated_Tai_Chi_Push_001_annotated.txt,f,26,169,75,1,1,1,2,2,0
mr_24_annotated_Tai_Chi_Push_002_annotated.txt,f,26,169,75,1,1,1,2,2,0
mr_24_annotated_Tai_Chi_Push_003_annotated.txt,f,26,169,75,1,1,1,2,2,0
mr_29_annotated_Tai_Chi_Push_000_annotated.txt,m,21,182,83,1,1,0,0,0,0
mr_29_annotated_Tai_Chi_Push_001_annotated.txt,m,21,182,83,1,1,0,0,0,0
mr_29_annotated_Tai_Chi_Push_002_annotated.txt,m,21,182,83,1,1,0,0,0,0
mr_29_annotated_Tai_Chi_Push_003_annotated.txt,m,21,182,83,1,1,0,0,0,0
mr_29_annotated_Tai_Chi_Push_004_annotated.txt,m,21,182,83,1,1,0,0,0,0
mr_28_annotated_Tai_Chi_Push_000_annotated.txt,m,23,185,82,1,1,0,0,0,0
mr_28_annotated_Tai_Chi_Push_001_annotated.txt,m,23,185,82,1,1,0,0,0,0
mr_28_annotated_Tai_Chi_Push_002_annotated.txt,m,23,185,82,1,1,0,0,0,0
mr_28_annotated_Tai_Chi_Push_003_annotated.txt,m,23,185,82,1,1,0,0,0,0
mr_28_annotated_Tai_Chi_Push_004_annotated.txt,m,23,185,82,1,1,0,0,0,0
mr_09_annotated_Tai_Chi_Push_000_annotated.txt,m,22,176,80,1,1,0,0,0,0
mr_09_annotated_Tai_Chi_Push_001_annotated.txt,m,22,176,80,1,1,0,0,0,0
mr_09_annotated_Tai_Chi_Push_002_annotated.txt,m,22,176,80,1,1,0,0,0,0
mr_09_annotated_Tai_Chi_Push_003_annotated.txt,m,22,176,80,1,1,0,0,0,0
mr_09_annotated_Tai_Chi_Push_004_annotated.txt,m,22,176,80,1,1,0,0,0,0
mr_08_008_annotated_Tai_Chi_Push_000_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_008_annotated_Tai_Chi_Push_001_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_008_annotated_Tai_Chi_Push_002_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_008_annotated_Tai_Chi_Push_003_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_008_annotated_Tai_Chi_Push_004_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_000_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_001_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_002_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_003_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_004_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_005_annotated.txt,m,29,172,63,1,1,1,1,1,0
mr_08_annotated_Tai_Chi_Push_006_annotated.txt,m,29,172,63,1,1,1,1,1,0
